index,precipitation,temp_mean,temp_highest,temp_lowest,PM10,PM2.5,humidity,sunshine_sum,sunshine_rate,wind_mean,wind_max,rental,year,month,day
0,-4.4401563850346975,-1.3,3.8,-5.1,34.0,17.0,39.1,8.3,86.5,1.4,3.8,4950,2018,1,1
1,-3.552492452906943,-1.8,1.8,-4.3,36.0,22.0,42.0,7.9,82.3,1.8,4.9,7136,2018,1,2
2,-4.954678409851123,-4.7,-0.4,-7.1,31.0,19.0,42.3,8.6,88.7,2.2,3.5,7156,2018,1,3
3,0.3076311095346025,-4.7,-0.7,-8.7,39.0,24.0,43.0,6.2,63.9,1.4,3.5,7102,2018,1,4
4,-4.067014477723369,-3.0,1.6,-5.6,51.0,35.0,48.4,8.2,84.5,1.7,3.6,7705,2018,1,5
5,-5.3825918575698,-2.8,2.9,-6.8,38.0,27.0,45.8,8.8,90.7,1.5,3.1,5681,2018,1,6
6,7.083556214280898,-0.8,2.8,-5.7,47.0,36.0,42.1,3.1,32.0,0.8,2.5,5220,2018,1,7
7,0.9,1.3,4.0,-1.2,49.0,37.0,51.9,0.5,5.2,1.8,7.1,6309,2018,1,8
8,0.5,-4.2,-1.2,-6.1,37.0,19.0,59.4,8.4,86.6,2.9,6.1,5988,2018,1,9
9,0.3,-7.5,-4.8,-10.3,27.0,13.0,52.0,8.8,89.8,3.0,6.1,4476,2018,1,10
10,-5.02536846860367,-11.1,-7.4,-13.6,30.0,22.0,49.8,8.7,88.8,2.8,4.9,4337,2018,1,11
11,0.0,-10.2,-5.4,-15.3,21.0,14.0,35.4,8.8,89.8,1.7,3.6,4401,2018,1,12
12,0.4,-4.4,-1.2,-6.6,48.0,37.0,67.3,0.9,9.2,0.8,1.7,3756,2018,1,13
13,1.7187195994522266,0.6,5.4,-4.4,64.0,50.0,64.1,5.6,57.1,1.2,2.8,4675,2018,1,14
14,0.2,4.7,7.7,1.8,63.0,45.0,63.9,6.5,65.7,1.4,3.3,6993,2018,1,15
15,0.0,3.5,6.8,0.1,97.0,74.0,59.1,0.5,5.1,0.7,2.2,7421,2018,1,16
16,3.5258845003981296,4.5,8.7,2.4,99.0,78.0,64.1,4.8,48.5,1.2,3.7,6990,2018,1,17
